system_type,response_time_ms,api_calls_count,ui_elements_count,user_interactions,error_rate,avg_session_duration_min,label
ERP,194,165,41,112,0.0255,51,0
CRM,147,212,29,629,0.0394,15,0
CRM,114,275,45,345,0.0349,23,1
POS,299,279,48,213,0.0294,35,1
POS,289,231,39,332,0.0171,37,1
POS,139,298,16,421,0.0421,56,1
CRM,181,367,31,637,0.0209,45,1
CRM,210,259,19,225,0.0428,40,1
CRM,152,193,17,412,0.0345,36,1
POS,123,441,36,610,0.0249,11,0
CRM,253,394,19,583,0.0116,28,0
CRM,287,145,23,380,0.0193,37,0
POS,223,431,20,382,0.0456,54,0
ERP,140,395,15,491,0.0427,53,1
POS,256,293,30,622,0.033,30,1
ERP,114,135,42,481,0.0287,54,1
CRM,144,464,28,315,0.0359,24,0
CRM,164,443,48,641,0.0286,43,0
ERP,188,233,33,215,0.0358,49,1
ERP,170,170,27,608,0.0223,12,0
ERP,108,381,44,599,0.0435,10,1
POS,187,141,46,370,0.0381,33,0
ERP,228,119,28,539,0.0232,52,0
ERP,235,453,33,390,0.0432,36,1
CRM,162,182,43,138,0.0295,18,1
ERP,238,328,31,123,0.017,33,0
CRM,180,186,13,142,0.0131,26,1
CRM,235,363,19,269,0.038,37,1
ERP,262,236,11,439,0.0446,48,1
CRM,262,270,17,268,0.0423,13,0
CRM,132,487,42,637,0.0362,38,1
ERP,222,95,47,571,0.0157,54,1
ERP,104,327,37,242,0.0138,37,1
CRM,140,241,19,200,0.0238,46,0
POS,127,57,10,674,0.0442,38,0
CRM,234,428,43,574,0.0485,53,1
CRM,171,325,12,410,0.0197,38,0
CRM,111,228,18,683,0.0405,14,1
CRM,261,383,14,159,0.033,20,1
POS,132,88,19,128,0.0113,11,0
POS,147,342,21,630,0.0317,13,0
CRM,250,227,27,172,0.0422,19,1
POS,161,211,30,493,0.021,48,0
POS,136,380,30,493,0.0459,53,0
ERP,198,423,10,580,0.0195,17,1
CRM,271,153,12,572,0.0131,32,0
ERP,203,210,14,412,0.0164,36,0
POS,134,336,34,537,0.0435,32,1
CRM,292,172,17,423,0.0267,57,1
POS,200,103,26,186,0.0419,43,0
CRM,274,477,18,458,0.0312,44,1
CRM,230,83,41,296,0.0292,26,0
ERP,100,291,15,484,0.0423,56,1
CRM,104,427,49,217,0.0269,59,1
ERP,241,162,30,597,0.0421,19,0
CRM,202,367,16,561,0.014,11,1
POS,126,72,16,595,0.0355,26,1
ERP,236,95,48,693,0.0381,40,0
ERP,114,361,36,346,0.046,25,0
ERP,189,184,17,333,0.019,33,0
ERP,141,167,18,516,0.0342,16,1
POS,223,238,37,566,0.0273,28,0
ERP,278,180,24,581,0.0253,25,1
ERP,162,471,11,464,0.0143,42,0
POS,195,261,16,252,0.0154,45,1
CRM,151,467,27,371,0.0435,54,0
CRM,195,162,31,491,0.04,19,0
POS,231,93,19,646,0.0253,52,0
ERP,250,177,42,529,0.0431,24,1
ERP,242,413,16,288,0.0132,52,0
POS,270,207,12,351,0.035,12,1
ERP,128,322,23,494,0.0447,11,1
ERP,135,364,45,318,0.0436,52,0
POS,112,443,22,693,0.0249,51,1
POS,259,404,25,289,0.0398,44,0
ERP,170,389,25,333,0.0271,36,0
CRM,286,451,14,331,0.0436,14,0
CRM,185,94,34,457,0.0312,24,1
POS,127,157,47,577,0.0406,45,1
CRM,165,268,47,674,0.0131,58,0
POS,269,492,47,528,0.0336,42,0
CRM,144,367,48,336,0.032,10,1
CRM,161,364,35,132,0.0344,21,1
ERP,284,226,22,312,0.0378,51,1
POS,233,277,35,671,0.0467,50,0
CRM,127,240,10,478,0.0414,18,0
CRM,127,209,17,101,0.0188,29,1
ERP,207,443,13,549,0.043,39,0
CRM,143,316,30,668,0.0149,23,0
POS,183,407,31,526,0.0349,32,0
CRM,129,375,46,378,0.0453,38,0
ERP,289,428,12,313,0.014,51,0
POS,174,239,28,384,0.044,44,1
ERP,227,224,10,642,0.0419,36,0
CRM,191,339,38,373,0.0302,58,0
CRM,289,406,32,110,0.0224,36,1
ERP,228,194,42,146,0.0262,39,0
CRM,220,281,32,614,0.0487,12,1
CRM,126,409,14,537,0.0181,21,1
CRM,289,487,16,683,0.0332,56,0
ERP,220,253,15,526,0.0133,40,1
ERP,215,262,31,531,0.0187,46,1
POS,102,89,22,229,0.0405,36,1
ERP,202,324,21,121,0.0221,56,1
ERP,297,372,13,488,0.0494,33,0
POS,299,131,17,234,0.03,57,0
ERP,254,230,46,631,0.0307,50,1
POS,236,369,40,319,0.0115,49,1
POS,161,132,46,432,0.0483,20,0
POS,264,352,35,229,0.017,36,0
ERP,150,311,17,131,0.0315,18,1
ERP,271,321,49,524,0.0258,25,1
POS,251,249,42,397,0.0266,23,0
POS,158,289,38,603,0.0357,56,0
CRM,217,451,14,456,0.0365,39,0
ERP,259,229,37,554,0.0162,55,1
ERP,195,481,49,500,0.03,33,0
CRM,279,220,26,658,0.0416,51,1
ERP,212,344,32,554,0.0277,22,1
POS,161,226,18,133,0.0166,42,1
POS,285,418,11,347,0.0225,18,0
ERP,151,445,41,141,0.0185,58,0
ERP,111,286,40,222,0.015,35,0
POS,138,187,16,126,0.0251,58,0
ERP,229,376,39,561,0.0316,51,0
ERP,230,415,12,670,0.0129,54,1
POS,212,360,18,246,0.0342,59,1
ERP,200,178,19,595,0.0497,22,1
ERP,212,98,35,585,0.0486,30,1
POS,283,213,10,559,0.0432,38,0
POS,180,326,39,227,0.0207,37,0
POS,286,342,47,475,0.0109,33,0
ERP,212,165,24,182,0.0433,22,0
ERP,101,73,34,634,0.0122,51,1
POS,229,360,15,622,0.0182,29,1
CRM,153,74,27,202,0.0318,48,0
POS,186,440,10,618,0.0171,16,0
ERP,228,176,12,461,0.0434,50,0
CRM,246,283,26,355,0.0411,57,0
CRM,225,258,17,346,0.0402,24,0
POS,229,142,49,291,0.0426,34,1
ERP,152,143,26,634,0.0188,44,0
POS,271,376,34,413,0.0392,22,0
POS,259,274,21,375,0.0242,52,1
CRM,297,427,38,472,0.0367,17,0
ERP,259,329,34,543,0.0149,30,0
CRM,167,60,45,294,0.0382,15,0
POS,282,378,34,357,0.0489,19,0
ERP,283,61,38,681,0.0117,58,1
POS,222,84,20,459,0.0138,50,1
ERP,244,496,13,647,0.0149,30,0
POS,137,277,23,207,0.0272,23,0
CRM,123,269,47,123,0.0216,54,1
ERP,168,490,26,564,0.0423,42,1
ERP,215,190,11,121,0.029,34,1
POS,197,72,17,601,0.0294,28,0
POS,297,132,45,600,0.0387,18,1
POS,238,278,19,692,0.0245,58,1
POS,243,472,16,506,0.0241,56,0
POS,196,393,45,429,0.0403,46,1
POS,223,129,25,385,0.0412,45,1
CRM,286,402,23,246,0.0106,45,0
ERP,169,445,25,483,0.0158,24,0
CRM,192,339,34,110,0.0185,14,0
ERP,102,380,13,375,0.0241,26,1
CRM,247,208,38,667,0.0217,39,0
ERP,286,177,15,402,0.0367,16,1
ERP,263,239,10,303,0.0431,15,1
CRM,246,446,48,444,0.0177,24,1
POS,189,80,10,365,0.0325,55,0
POS,294,435,49,121,0.0247,19,0
ERP,246,408,12,635,0.0302,15,0
CRM,247,64,10,195,0.0348,51,1
CRM,195,362,10,544,0.0457,50,1
ERP,298,124,48,362,0.0177,22,1
CRM,151,83,30,683,0.0135,23,0
ERP,260,408,39,482,0.0351,10,1
CRM,267,245,41,649,0.0258,42,0
CRM,227,380,42,491,0.0165,28,1
CRM,138,78,31,639,0.0147,18,0
ERP,181,243,39,191,0.0324,46,0
POS,203,65,13,665,0.022,58,1
POS,228,472,32,258,0.0499,57,0
POS,110,126,34,327,0.0262,21,1
ERP,284,342,21,572,0.0185,14,0
POS,277,130,26,471,0.0352,15,1
ERP,250,454,24,475,0.0198,20,0
POS,258,477,19,652,0.0298,47,0
CRM,141,173,44,136,0.0293,19,1
POS,198,68,38,136,0.0281,24,0
POS,106,151,21,200,0.0418,59,0
CRM,243,441,10,642,0.0187,48,1
POS,189,126,10,289,0.0462,37,1
ERP,211,278,19,611,0.0417,12,1
CRM,159,499,27,189,0.0233,25,1
CRM,212,346,11,105,0.0172,54,1
POS,101,252,17,238,0.0212,26,1
CRM,228,110,31,194,0.0233,45,1
CRM,147,75,31,485,0.0323,28,0
POS,239,120,35,222,0.0119,13,1
ERP,296,152,35,384,0.0466,34,1
ERP,136,375,18,465,0.0139,36,1
ERP,259,412,30,589,0.0212,21,1
CRM,108,206,40,424,0.0144,36,0
ERP,198,412,15,506,0.0203,13,0
POS,246,408,23,618,0.0435,33,1
CRM,147,243,42,176,0.0346,26,0
POS,230,324,16,333,0.0191,35,1
POS,247,373,33,685,0.0449,27,1
ERP,251,235,18,583,0.042,31,0
CRM,153,375,20,563,0.0401,15,1
ERP,219,162,32,370,0.0439,28,1
POS,260,362,11,566,0.0348,46,0
CRM,251,214,24,568,0.0301,43,0
CRM,215,110,44,646,0.025,20,0
ERP,174,141,45,369,0.019,33,0
CRM,212,335,37,477,0.0323,54,1
POS,299,202,48,276,0.0456,46,0
ERP,263,274,13,373,0.0338,32,0
ERP,265,176,19,126,0.0468,49,1
CRM,203,242,15,675,0.0243,52,0
ERP,183,164,39,159,0.0378,13,0
POS,211,311,44,316,0.0359,27,1
POS,198,67,19,369,0.0368,39,0
CRM,252,59,41,215,0.0358,24,1
ERP,192,141,12,344,0.0189,46,1
POS,245,188,35,184,0.0157,32,1
POS,227,498,24,698,0.0491,21,1
POS,209,382,26,549,0.0118,13,1
POS,181,406,36,635,0.0287,13,0
CRM,293,389,27,188,0.027,50,0
POS,153,498,28,648,0.0244,50,1
CRM,262,101,21,606,0.0413,23,1
POS,288,244,33,507,0.0398,17,1
POS,268,255,14,370,0.0462,32,1
ERP,260,336,33,623,0.0258,10,0
POS,167,450,36,593,0.0326,20,0
ERP,132,488,39,547,0.0457,36,0
CRM,241,415,24,642,0.0498,13,1
ERP,120,142,47,449,0.0488,38,1
ERP,147,469,43,427,0.0387,26,1
CRM,247,459,36,385,0.0157,58,1
POS,227,358,29,134,0.0109,28,0
CRM,235,194,41,632,0.043,54,1
ERP,234,135,13,587,0.0436,58,1
CRM,294,202,14,586,0.0399,33,1
POS,244,51,17,244,0.0212,53,1
CRM,227,391,31,623,0.0356,55,1
CRM,132,438,16,245,0.0226,50,0
CRM,275,309,31,602,0.028,53,1
POS,286,213,39,626,0.0253,41,1
ERP,214,55,46,371,0.0465,40,1
POS,218,198,25,633,0.0194,58,1
POS,121,254,24,194,0.0331,25,0
ERP,257,167,14,546,0.0244,41,0
ERP,137,138,12,514,0.0365,53,1
ERP,208,203,32,356,0.0326,51,1
CRM,150,488,19,361,0.047,43,0
ERP,281,216,14,186,0.0141,44,0
POS,107,210,32,535,0.0188,46,1
CRM,126,319,24,669,0.0407,25,0
CRM,126,105,27,207,0.0248,30,1
ERP,120,277,34,118,0.0166,22,1
ERP,129,386,17,464,0.0301,27,1
ERP,196,198,40,478,0.0361,11,1
ERP,127,95,30,259,0.0118,42,0
CRM,210,193,11,199,0.0217,50,1
POS,291,287,31,364,0.0424,27,1
CRM,296,321,17,148,0.0308,37,1
CRM,160,169,32,514,0.0114,46,0
POS,147,389,41,158,0.0213,44,1
CRM,246,462,17,282,0.0356,46,1
POS,103,269,13,546,0.018,21,1
ERP,134,57,39,400,0.0431,49,0
CRM,291,393,28,654,0.0371,17,1
CRM,148,436,32,453,0.0289,34,0
ERP,116,324,27,312,0.0466,16,1
ERP,271,402,38,288,0.0257,11,1
ERP,257,115,32,446,0.0194,42,1
CRM,145,128,42,236,0.0365,42,1
ERP,216,135,27,129,0.0329,49,1
ERP,105,173,42,245,0.0234,58,1
CRM,198,251,16,567,0.0237,32,1
CRM,223,199,37,602,0.0259,14,1
POS,136,95,10,290,0.0216,23,0
ERP,123,162,48,570,0.0384,17,0
CRM,192,140,43,444,0.0361,29,1
ERP,145,190,48,100,0.0276,27,1
POS,280,338,28,209,0.0259,32,1
CRM,194,438,40,163,0.0246,38,1
ERP,198,267,22,152,0.0213,16,1
ERP,287,126,33,361,0.0134,33,0
POS,215,460,14,628,0.0207,55,0
CRM,290,426,32,401,0.0228,34,1
ERP,259,433,28,333,0.0319,23,0
ERP,260,383,10,172,0.041,47,1
CRM,166,201,42,456,0.0258,12,0
ERP,227,372,42,583,0.0478,55,0
CRM,117,288,41,105,0.0431,23,0
ERP,124,164,37,236,0.0494,12,0
ERP,153,368,46,503,0.045,51,1
ERP,157,418,21,654,0.0347,18,1
ERP,166,143,18,669,0.0339,16,0
ERP,203,97,20,305,0.0152,35,0
CRM,273,240,42,509,0.0389,16,1
CRM,123,61,28,135,0.034,16,1
POS,213,205,43,329,0.0303,53,0
POS,131,221,16,326,0.0377,45,0
CRM,274,476,40,361,0.0278,22,0
POS,185,450,11,230,0.031,12,0
POS,250,345,28,676,0.0259,29,0
ERP,293,226,47,547,0.0387,18,1
POS,226,390,41,285,0.0451,31,1
CRM,254,106,19,285,0.0436,54,0
POS,229,392,17,373,0.0414,42,0
POS,116,389,35,451,0.0106,32,1
POS,203,497,39,512,0.0465,32,1
POS,260,252,20,250,0.021,47,1
POS,236,234,29,483,0.0455,35,1
CRM,142,170,29,135,0.0179,41,0
POS,275,275,18,425,0.0276,37,1
CRM,138,251,17,564,0.04,39,0
ERP,269,379,24,565,0.0356,49,1
ERP,125,412,43,194,0.0266,26,0
ERP,198,429,33,233,0.0371,27,0
POS,149,405,42,261,0.032,34,0
ERP,252,265,49,655,0.021,13,1
POS,251,92,36,399,0.0359,35,1
CRM,112,424,30,455,0.0182,40,0
CRM,159,72,14,339,0.0378,21,0
POS,234,204,44,663,0.0101,57,1
ERP,156,235,30,685,0.032,27,0
ERP,135,298,13,266,0.026,19,0
ERP,272,286,25,239,0.0221,45,1
ERP,119,342,40,238,0.0306,11,1
CRM,164,183,35,334,0.0358,34,0
CRM,107,370,44,102,0.0486,56,1
CRM,243,439,15,355,0.0433,18,1
ERP,241,483,42,470,0.0387,56,0
CRM,214,71,30,377,0.0292,41,0
POS,242,410,25,615,0.0257,14,1
POS,191,137,48,311,0.0113,12,1
POS,197,202,43,315,0.0244,26,1
CRM,165,174,24,369,0.0439,22,1
CRM,131,128,15,575,0.0254,12,0
ERP,290,395,11,627,0.0285,37,0
POS,185,100,33,163,0.0209,13,0
ERP,150,265,37,559,0.021,27,0
ERP,252,225,10,115,0.0125,44,1
POS,285,407,10,663,0.0346,23,0
ERP,162,302,37,118,0.0279,25,1
CRM,289,295,45,424,0.0342,21,0
CRM,224,276,29,192,0.0319,20,1
CRM,249,155,17,116,0.042,11,1
ERP,157,242,10,587,0.04,42,1
POS,157,365,35,193,0.0409,22,0
ERP,185,351,34,109,0.03,39,0
POS,148,85,19,627,0.0242,35,0
POS,279,491,21,588,0.0473,59,1
POS,269,253,16,243,0.0122,27,0
ERP,169,471,21,653,0.0161,22,1
ERP,114,316,49,614,0.0268,13,1
POS,153,317,26,569,0.0346,42,0
CRM,287,219,14,476,0.0103,24,0
POS,200,88,23,593,0.0388,26,0
CRM,107,188,43,583,0.0323,15,0
CRM,152,341,26,551,0.0294,14,1
ERP,159,101,44,635,0.0269,42,1
CRM,207,336,10,174,0.0308,25,0
POS,104,338,45,139,0.0165,55,1
ERP,202,190,24,401,0.0143,33,1
CRM,295,195,28,651,0.0216,14,1
POS,105,474,14,161,0.0384,12,0
POS,208,363,28,602,0.0335,44,0
POS,215,233,48,344,0.0292,36,0
CRM,193,201,14,117,0.0329,21,1
ERP,146,250,21,497,0.0324,59,0
CRM,198,177,28,693,0.0223,50,0
CRM,154,336,21,288,0.0139,34,1
ERP,267,360,45,203,0.0459,26,1
CRM,151,302,21,443,0.034,58,1
ERP,243,315,27,470,0.0379,29,1
CRM,112,237,43,132,0.0286,37,0
CRM,213,435,42,473,0.0403,59,1
CRM,223,279,27,277,0.0334,44,1
ERP,205,320,38,111,0.0122,59,1
POS,257,308,14,555,0.0456,24,0
POS,246,348,34,348,0.0222,42,1
POS,244,464,33,547,0.0155,12,0
ERP,219,247,38,669,0.0135,16,0
POS,162,372,47,103,0.0388,19,1
ERP,118,105,42,335,0.0382,50,0
ERP,191,368,19,272,0.038,35,0
CRM,157,252,46,421,0.0466,50,0
CRM,282,320,42,470,0.024,49,1
CRM,189,158,32,647,0.0324,15,1
POS,216,165,20,395,0.0348,42,1
CRM,161,141,33,499,0.0492,25,0
CRM,122,187,33,157,0.0225,33,0
POS,226,471,16,629,0.0483,39,1
CRM,236,352,30,647,0.0159,19,1
POS,239,106,29,507,0.0406,20,0
CRM,228,99,19,612,0.0353,53,0
POS,157,120,34,163,0.0427,31,0
ERP,221,448,45,673,0.0111,12,0
POS,100,451,24,519,0.0131,47,0
CRM,133,131,49,245,0.0128,49,1
POS,195,421,49,371,0.0337,32,0
POS,225,154,15,116,0.0341,54,0
CRM,217,137,46,197,0.0462,28,1
ERP,147,51,11,551,0.0287,49,1
ERP,188,409,21,342,0.0127,22,1
POS,216,133,13,578,0.0184,45,0
CRM,228,92,32,300,0.0103,12,1
ERP,115,203,22,572,0.0411,31,1
CRM,288,376,26,278,0.0426,34,1
CRM,291,471,40,607,0.0499,29,1
CRM,290,143,25,552,0.0265,37,1
CRM,168,347,35,369,0.0108,12,1
POS,121,182,37,333,0.0194,31,0
POS,192,444,10,585,0.0335,53,0
CRM,294,114,21,677,0.0485,46,0
POS,175,339,46,437,0.0141,47,1
POS,253,425,29,547,0.0149,27,1
CRM,243,306,11,683,0.0381,29,0
CRM,278,435,45,456,0.0367,55,0
ERP,185,262,24,148,0.02,14,0
POS,284,197,47,595,0.0425,52,0
CRM,128,110,31,445,0.0152,18,1
ERP,168,198,41,392,0.047,38,1
ERP,146,137,29,249,0.018,26,1
ERP,193,373,45,681,0.0133,21,1
CRM,289,432,42,644,0.0236,35,1
POS,296,445,24,359,0.0175,42,1
ERP,243,327,12,421,0.0311,42,0
CRM,275,453,38,176,0.0375,45,0
CRM,184,131,36,209,0.0296,38,0
POS,138,178,14,646,0.0364,31,0
CRM,199,335,40,522,0.0246,27,1
POS,132,431,31,493,0.0111,26,0
CRM,200,402,44,334,0.049,53,0
CRM,122,329,16,429,0.0428,33,1
POS,109,319,15,424,0.0129,31,0
POS,168,341,35,250,0.028,53,0
ERP,199,252,10,645,0.0354,14,0
ERP,133,73,28,131,0.0176,10,1
POS,279,493,16,371,0.0331,28,1
CRM,237,400,45,467,0.0313,39,0
ERP,246,360,21,591,0.0183,48,1
POS,285,257,29,415,0.0156,24,0
CRM,195,329,32,689,0.0404,55,0
CRM,100,254,34,687,0.0229,44,1
CRM,168,201,39,671,0.0198,14,0
ERP,103,487,38,696,0.0395,15,1
POS,115,75,40,467,0.0394,34,1
CRM,123,243,27,179,0.0211,20,1
POS,179,385,28,271,0.0449,31,0
CRM,101,471,13,357,0.0375,43,0
POS,227,287,10,378,0.0238,53,1
POS,259,370,24,603,0.0271,23,0
POS,183,124,17,657,0.0391,18,0
POS,251,484,24,590,0.0185,29,1
ERP,239,212,24,684,0.0288,25,0
CRM,277,348,48,665,0.0361,26,0
POS,262,78,31,436,0.0316,26,1
CRM,223,214,27,620,0.0343,43,1
CRM,132,386,25,425,0.0318,51,1
ERP,260,235,11,271,0.018,20,0
POS,288,103,45,183,0.0264,44,1
ERP,278,344,29,623,0.0313,43,1
ERP,270,91,25,580,0.0412,45,1
POS,200,461,12,643,0.0362,17,1
ERP,111,334,39,517,0.0271,28,0
ERP,166,476,11,438,0.049,59,1
ERP,164,436,44,419,0.0143,42,0
ERP,260,187,35,403,0.0183,32,1
POS,267,236,14,371,0.0237,11,1
CRM,173,447,11,213,0.0191,17,1
CRM,142,253,29,506,0.035,38,1
CRM,143,480,43,125,0.0116,51,1
CRM,128,91,43,336,0.0171,16,0
CRM,240,399,29,409,0.0217,58,0
POS,111,465,34,332,0.0373,38,0
ERP,194,337,29,648,0.045,40,1
POS,145,475,34,364,0.0419,39,0
CRM,229,465,23,112,0.0173,44,0
POS,134,75,48,595,0.0326,34,1
ERP,180,420,21,415,0.0112,56,1
CRM,189,434,14,483,0.0224,13,1
POS,107,105,11,415,0.0422,58,1
ERP,192,302,25,355,0.0283,52,1
POS,253,171,39,540,0.016,47,0
ERP,189,155,47,214,0.0275,26,1
CRM,261,179,33,398,0.0179,19,1
ERP,214,386,39,223,0.0257,10,0
ERP,204,207,46,355,0.0295,27,1
ERP,234,425,48,146,0.024,55,0
ERP,295,280,20,562,0.0475,28,0
ERP,157,357,23,449,0.0325,59,0
POS,213,140,32,222,0.0437,41,1
ERP,174,442,25,130,0.0404,40,0
CRM,256,71,30,154,0.0364,42,1
POS,219,339,13,252,0.0299,31,0
POS,263,159,42,555,0.0101,10,0
POS,120,98,23,385,0.0345,50,1
POS,263,178,28,135,0.0242,55,1
POS,237,122,14,355,0.0147,44,1
CRM,200,389,45,277,0.0278,53,1
POS,251,102,40,647,0.0394,58,1
CRM,291,405,27,353,0.0485,26,0
CRM,276,429,40,607,0.025,43,0
CRM,198,217,39,120,0.0317,38,0
POS,135,94,30,174,0.044,15,0
CRM,195,442,39,559,0.0234,10,0
CRM,251,154,13,277,0.0157,36,0
POS,250,199,14,481,0.0213,21,1
ERP,289,195,19,136,0.046,13,0
ERP,136,253,36,219,0.0164,25,0
CRM,111,411,25,100,0.0232,20,0
ERP,212,348,39,410,0.0286,29,0
ERP,282,216,22,307,0.0439,35,1
POS,112,250,45,253,0.0475,37,0
CRM,122,183,30,414,0.027,51,0
POS,198,260,49,406,0.0473,17,0
CRM,204,97,24,603,0.0165,11,0
CRM,129,175,29,619,0.0163,49,1
POS,116,288,29,196,0.048,35,1
ERP,212,56,14,589,0.0304,36,1
POS,161,321,41,106,0.0174,42,0
POS,183,434,15,111,0.0295,16,0
CRM,211,420,39,613,0.0413,55,1
POS,185,86,35,448,0.0431,45,1
ERP,240,260,46,106,0.0446,30,1
CRM,286,214,22,599,0.0328,58,0
POS,118,174,38,574,0.0447,43,0
CRM,276,386,14,623,0.0304,32,1
POS,199,241,34,156,0.0343,43,0
CRM,239,267,22,689,0.0403,49,1
CRM,288,263,33,685,0.027,16,0
CRM,246,111,40,332,0.0129,35,1
ERP,175,377,29,129,0.024,49,0
ERP,108,494,17,466,0.035,58,1
ERP,298,430,18,155,0.0177,26,1
ERP,127,210,30,109,0.0159,40,1
POS,227,115,29,246,0.0217,48,0
POS,151,335,24,463,0.0113,34,1
POS,182,288,35,698,0.0397,46,0
POS,210,69,20,352,0.0203,24,0
CRM,243,237,46,352,0.015,11,1
CRM,216,131,20,542,0.038,20,0
POS,168,412,36,439,0.0437,41,1
CRM,198,251,39,615,0.0108,39,1
ERP,239,457,28,452,0.0193,26,0
ERP,124,181,43,422,0.0478,33,1
ERP,279,86,47,239,0.0254,54,0
CRM,222,181,32,544,0.0475,13,1
POS,152,126,10,194,0.021,59,1
ERP,250,138,12,652,0.0187,55,0
ERP,243,451,12,519,0.0186,41,0
POS,156,302,37,613,0.0134,28,0
CRM,138,393,23,249,0.0459,12,1
POS,208,243,39,652,0.0492,13,0
ERP,280,225,14,450,0.0482,34,1
ERP,141,82,24,215,0.0441,18,0
CRM,285,107,47,336,0.0439,30,0
POS,266,250,23,369,0.0364,32,0
CRM,241,77,23,390,0.043,55,1
ERP,221,84,17,533,0.0183,38,1
POS,232,174,17,108,0.0255,39,1
ERP,262,443,28,574,0.0356,34,0
POS,174,370,41,621,0.045,58,0
ERP,245,91,40,636,0.0364,38,1
CRM,175,134,38,110,0.0436,43,1
CRM,108,442,20,426,0.029,23,0
CRM,173,237,22,694,0.0387,31,1
CRM,285,160,36,375,0.0492,57,1
CRM,244,320,28,469,0.0161,25,1
POS,106,490,35,589,0.0471,20,0
ERP,273,374,46,444,0.0309,23,0
CRM,240,154,18,467,0.0357,16,0
ERP,267,455,37,410,0.0451,14,1
POS,269,369,41,584,0.0264,49,1
ERP,236,90,12,114,0.0267,38,1
ERP,277,264,41,103,0.0311,26,0
CRM,126,120,14,475,0.0108,39,1
POS,221,105,17,468,0.0299,34,0
ERP,293,456,23,564,0.0216,23,0
ERP,104,285,12,632,0.0471,51,0
ERP,128,330,33,236,0.0135,31,0
ERP,264,154,22,462,0.0284,53,0
CRM,265,439,38,315,0.0479,14,0
